,id,age,class,long,lat
46,b1114,21,18,43.01016150722189,-78.79108758619992
47,b1115,18,30,43.01016150722189,-78.79108758619992
48,b1116,20,30,43.01016150722189,-78.79108758619992
49,b1117,17,24,43.01016150722189,-78.79108758619992
50,b1118,24,21,43.01016150722189,-78.79108758619992
51,b1119,19,26,43.01016150722189,-78.79108758619992
52,b1120,21,18,43.01016150722189,-78.79108758619992
53,b1121,21,5,43.01016150722189,-78.79108758619992
54,b1122,22,22,43.01016150722189,-78.79108758619992
55,b1123,23,19,43.01016150722189,-78.79108758619992
56,b1124,22,26,43.01016150722189,-78.79108758619992
57,b1125,22,9,43.01016150722189,-78.79108758619992
58,b1126,20,6,43.01016150722189,-78.79108758619992
59,b1127,23,23,43.01016150722189,-78.79108758619992
60,b1128,19,9,43.01016150722189,-78.79108758619992
61,b1129,24,3,43.01016150722189,-78.79108758619992
62,b1130,21,28,43.01016150722189,-78.79108758619992
63,b1131,17,30,43.01016150722189,-78.79108758619992
64,b210,17,20,43.01043217737067,-78.79000188549007
65,b211,23,29,43.01043217737067,-78.79000188549007
66,b212,22,10,43.01043217737067,-78.79000188549007
67,b213,19,22,43.01043217737067,-78.79000188549007
68,b214,21,25,43.01043217737067,-78.79000188549007
69,b215,20,25,43.01043217737067,-78.79000188549007
70,b216,21,9,43.01043217737067,-78.79000188549007
71,b217,22,14,43.01043217737067,-78.79000188549007
72,b218,20,1,43.01043217737067,-78.79000188549007
73,b219,19,25,43.01043217737067,-78.79000188549007
74,b2110,20,2,43.01043217737067,-78.79000188549007
75,b2111,18,17,43.01043217737067,-78.79000188549007
76,b2112,19,14,43.01043217737067,-78.79000188549007
77,b2113,21,10,43.01043217737067,-78.79000188549007
78,b2114,17,21,43.01043217737067,-78.79000188549007
79,b2115,17,21,43.01043217737067,-78.79000188549007
80,b2116,21,20,43.01043217737067,-78.79000188549007
81,b2117,18,20,43.01043217737067,-78.79000188549007
82,b2118,20,13,43.01043217737067,-78.79000188549007
83,b2119,18,19,43.01043217737067,-78.79000188549007
84,b2120,22,28,43.01043217737067,-78.79000188549007
85,b2121,17,19,43.01043217737067,-78.79000188549007
86,b2122,20,5,43.01043217737067,-78.79000188549007
87,b2123,18,14,43.01043217737067,-78.79000188549007
88,b2124,17,19,43.01043217737067,-78.79000188549007
89,b2125,19,19,43.01043217737067,-78.79000188549007
90,b2126,21,30,43.01043217737067,-78.79000188549007
91,b2127,18,10,43.01043217737067,-78.79000188549007
92,b2128,19,17,43.01043217737067,-78.79000188549007
93,b2129,18,15,43.01043217737067,-78.79000188549007
94,b2130,22,28,43.01043217737067,-78.79000188549007
95,b2131,23,8,43.01043217737067,-78.79000188549007
96,b310,18,1,43.010429004512254,-78.79062788941926
97,b311,17,14,43.010429004512254,-78.79062788941926
98,b312,19,17,43.010429004512254,-78.79062788941926
99,b313,18,18,43.010429004512254,-78.79062788941926
100,b314,19,23,43.010429004512254,-78.79062788941926
101,b315,25,28,43.010429004512254,-78.79062788941926
102,b316,20,15,43.010429004512254,-78.79062788941926
103,b317,18,6,43.010429004512254,-78.79062788941926
104,b318,17,14,43.010429004512254,-78.79062788941926
105,b319,17,12,43.010429004512254,-78.79062788941926
106,b3110,21,28,43.010429004512254,-78.79062788941926
107,b3111,21,13,43.010429004512254,-78.79062788941926
108,b3112,18,17,43.010429004512254,-78.79062788941926
109,b3113,24,16,43.010429004512254,-78.79062788941926
110,b3114,20,4,43.010429004512254,-78.79062788941926
111,b3115,20,13,43.010429004512254,-78.79062788941926
112,b3116,20,22,43.010429004512254,-78.79062788941926
113,b3117,17,2,43.010429004512254,-78.79062788941926
114,b3118,21,29,43.010429004512254,-78.79062788941926
115,b3119,21,1,43.010429004512254,-78.79062788941926
116,b3120,23,8,43.010429004512254,-78.79062788941926
117,b3121,17,20,43.010429004512254,-78.79062788941926
118,b3122,22,23,43.010429004512254,-78.79062788941926
119,b3123,22,5,43.010429004512254,-78.79062788941926
120,b3124,23,0,43.010429004512254,-78.79062788941926
121,b3125,25,17,43.010429004512254,-78.79062788941926
122,b3126,21,17,43.010429004512254,-78.79062788941926
123,b3127,18,28,43.010429004512254,-78.79062788941926
124,b3128,21,22,43.010429004512254,-78.79062788941926
125,b3129,20,12,43.010429004512254,-78.79062788941926
126,b3130,21,20,43.010429004512254,-78.79062788941926
127,b3131,19,6,43.010429004512254,-78.79062788941926
128,b410,20,20,43.01047019669646,-78.79154592029904
129,b411,21,8,43.01047019669646,-78.79154592029904
130,b412,20,26,43.01047019669646,-78.79154592029904
131,b413,21,11,43.01047019669646,-78.79154592029904
132,b414,19,23,43.01047019669646,-78.79154592029904
133,b415,18,25,43.01047019669646,-78.79154592029904
134,b416,20,15,43.01047019669646,-78.79154592029904
135,b417,19,8,43.01047019669646,-78.79154592029904
136,b418,22,3,43.01047019669646,-78.79154592029904
137,b419,19,9,43.01047019669646,-78.79154592029904
138,b4110,24,0,43.01047019669646,-78.79154592029904
139,b4111,19,8,43.01047019669646,-78.79154592029904
140,b4112,21,2,43.01047019669646,-78.79154592029904
141,b4113,19,7,43.01047019669646,-78.79154592029904
142,b4114,18,5,43.01047019669646,-78.79154592029904
143,b4115,17,10,43.01047019669646,-78.79154592029904
144,b4116,25,25,43.01047019669646,-78.79154592029904
145,b4117,17,14,43.01047019669646,-78.79154592029904
146,b4118,19,20,43.01047019669646,-78.79154592029904
147,b4119,21,28,43.01047019669646,-78.79154592029904
148,b4120,24,13,43.01047019669646,-78.79154592029904
149,b4121,19,20,43.01047019669646,-78.79154592029904
150,b4122,19,29,43.01047019669646,-78.79154592029904
151,b4123,22,1,43.01047019669646,-78.79154592029904
152,b4124,21,1,43.01047019669646,-78.79154592029904
153,b4125,20,2,43.01047019669646,-78.79154592029904
154,b4126,22,6,43.01047019669646,-78.79154592029904
155,b4127,18,30,43.01047019669646,-78.79154592029904
156,b4128,18,0,43.01047019669646,-78.79154592029904
157,b4129,17,7,43.01047019669646,-78.79154592029904
158,b4130,22,8,43.01047019669646,-78.79154592029904
159,b4131,20,28,43.01047019669646,-78.79154592029904
160,b510,22,19,43.010477712866596,-78.78941283046024
161,b511,19,7,43.010477712866596,-78.78941283046024
162,b512,25,23,43.010477712866596,-78.78941283046024
163,b513,20,1,43.010477712866596,-78.78941283046024
164,b514,24,22,43.010477712866596,-78.78941283046024
165,b515,22,22,43.010477712866596,-78.78941283046024
166,b516,21,5,43.010477712866596,-78.78941283046024
167,b517,19,3,43.010477712866596,-78.78941283046024
168,b518,22,15,43.010477712866596,-78.78941283046024
169,b519,24,9,43.010477712866596,-78.78941283046024
170,b5110,17,1,43.010477712866596,-78.78941283046024
171,b5111,23,13,43.010477712866596,-78.78941283046024
172,b5112,23,7,43.010477712866596,-78.78941283046024
173,b5113,19,20,43.010477712866596,-78.78941283046024
174,b5114,22,28,43.010477712866596,-78.78941283046024
175,b5115,19,4,43.010477712866596,-78.78941283046024
176,b5116,20,24,43.010477712866596,-78.78941283046024
177,b5117,20,0,43.010477712866596,-78.78941283046024
178,b5118,20,30,43.010477712866596,-78.78941283046024
179,b5119,24,8,43.010477712866596,-78.78941283046024
180,b5120,17,30,43.010477712866596,-78.78941283046024
181,b5121,18,25,43.010477712866596,-78.78941283046024
182,b5122,18,15,43.010477712866596,-78.78941283046024
183,b5123,25,17,43.010477712866596,-78.78941283046024
184,b5124,23,29,43.010477712866596,-78.78941283046024
185,b5125,22,7,43.010477712866596,-78.78941283046024
186,b5126,21,16,43.010477712866596,-78.78941283046024
187,b5127,25,30,43.010477712866596,-78.78941283046024
188,b5128,23,24,43.010477712866596,-78.78941283046024
189,b5129,20,22,43.010477712866596,-78.78941283046024
190,b5130,21,13,43.010477712866596,-78.78941283046024
191,b5131,20,5,43.010477712866596,-78.78941283046024
192,b610,19,26,43.010723547966215,-78.79329264939429
193,b611,23,24,43.010723547966215,-78.79329264939429
194,b612,20,14,43.010723547966215,-78.79329264939429
195,b613,18,12,43.010723547966215,-78.79329264939429
196,b614,17,18,43.010723547966215,-78.79329264939429
197,b615,19,9,43.010723547966215,-78.79329264939429
198,b616,23,19,43.010723547966215,-78.79329264939429
199,b617,20,9,43.010723547966215,-78.79329264939429
200,b618,18,23,43.010723547966215,-78.79329264939429
201,b619,20,18,43.010723547966215,-78.79329264939429
202,b6110,24,4,43.010723547966215,-78.79329264939429
203,b6111,22,0,43.010723547966215,-78.79329264939429
204,b6112,18,29,43.010723547966215,-78.79329264939429
205,b6113,22,30,43.010723547966215,-78.79329264939429
206,b6114,18,2,43.010723547966215,-78.79329264939429
207,b6115,23,0,43.010723547966215,-78.79329264939429
208,b6116,20,15,43.010723547966215,-78.79329264939429
209,b6117,22,18,43.010723547966215,-78.79329264939429
210,b6118,20,30,43.010723547966215,-78.79329264939429
211,b6119,20,17,43.010723547966215,-78.79329264939429
212,b6120,17,11,43.010723547966215,-78.79329264939429
213,b6121,18,17,43.010723547966215,-78.79329264939429
214,b6122,21,28,43.010723547966215,-78.79329264939429
215,b6123,20,17,43.010723547966215,-78.79329264939429
216,b6124,21,11,43.010723547966215,-78.79329264939429
217,b6125,18,29,43.010723547966215,-78.79329264939429
218,b6126,21,8,43.010723547966215,-78.79329264939429
219,b6127,18,23,43.010723547966215,-78.79329264939429
220,b6128,19,0,43.010723547966215,-78.79329264939429
221,b6129,20,9,43.010723547966215,-78.79329264939429
222,b6130,21,21,43.010723547966215,-78.79329264939429
223,b6131,25,7,43.010723547966215,-78.79329264939429
224,b710,17,4,43.01089240151547,-78.78964020333528
225,b711,20,6,43.01089240151547,-78.78964020333528
226,b712,22,13,43.01089240151547,-78.78964020333528
227,b713,22,29,43.01089240151547,-78.78964020333528
228,b714,20,9,43.01089240151547,-78.78964020333528
229,b715,17,6,43.01089240151547,-78.78964020333528
230,b716,19,25,43.01089240151547,-78.78964020333528
231,b717,23,0,43.01089240151547,-78.78964020333528
232,b718,25,8,43.01089240151547,-78.78964020333528
233,b719,24,25,43.01089240151547,-78.78964020333528
234,b7110,23,21,43.01089240151547,-78.78964020333528
235,b7111,18,8,43.01089240151547,-78.78964020333528
236,b7112,18,29,43.01089240151547,-78.78964020333528
237,b7113,20,7,43.01089240151547,-78.78964020333528
238,b7114,18,1,43.01089240151547,-78.78964020333528
239,b7115,21,6,43.01089240151547,-78.78964020333528
240,b7116,18,16,43.01089240151547,-78.78964020333528
241,b7117,22,25,43.01089240151547,-78.78964020333528
242,b7118,18,3,43.01089240151547,-78.78964020333528
243,b7119,19,27,43.01089240151547,-78.78964020333528
244,b7120,18,7,43.01089240151547,-78.78964020333528
245,b7121,18,20,43.01089240151547,-78.78964020333528
246,b7122,17,17,43.01089240151547,-78.78964020333528
247,b7123,17,21,43.01089240151547,-78.78964020333528
248,b7124,19,16,43.01089240151547,-78.78964020333528
249,b7125,20,23,43.01089240151547,-78.78964020333528
250,b7126,22,7,43.01089240151547,-78.78964020333528
251,b7127,17,29,43.01089240151547,-78.78964020333528
252,b7128,20,7,43.01089240151547,-78.78964020333528
253,b7129,18,27,43.01089240151547,-78.78964020333528
254,b7130,23,23,43.01089240151547,-78.78964020333528
255,b7131,21,21,43.01089240151547,-78.78964020333528
256,b810,17,13,43.01118046585002,-78.79342782570345
257,b811,21,12,43.01118046585002,-78.79342782570345
258,b812,18,0,43.01118046585002,-78.79342782570345
259,b813,20,6,43.01118046585002,-78.79342782570345
260,b814,23,22,43.01118046585002,-78.79342782570345
261,b815,18,1,43.01118046585002,-78.79342782570345
262,b816,20,17,43.01118046585002,-78.79342782570345
263,b817,22,9,43.01118046585002,-78.79342782570345
264,b818,23,23,43.01118046585002,-78.79342782570345
265,b819,20,21,43.01118046585002,-78.79342782570345
266,b8110,22,22,43.01118046585002,-78.79342782570345
267,b8111,25,12,43.01118046585002,-78.79342782570345
268,b8112,21,27,43.01118046585002,-78.79342782570345
269,b8113,22,7,43.01118046585002,-78.79342782570345
270,b8114,19,18,43.01118046585002,-78.79342782570345
271,b8115,24,4,43.01118046585002,-78.79342782570345
272,b8116,19,2,43.01118046585002,-78.79342782570345
273,b8117,22,28,43.01118046585002,-78.79342782570345
274,b8118,22,16,43.01118046585002,-78.79342782570345
275,b8119,18,16,43.01118046585002,-78.79342782570345
276,b8120,20,9,43.01118046585002,-78.79342782570345
277,b8121,22,10,43.01118046585002,-78.79342782570345
278,b8122,23,6,43.01118046585002,-78.79342782570345
279,b8123,21,26,43.01118046585002,-78.79342782570345
280,b8124,21,20,43.01118046585002,-78.79342782570345
281,b8125,19,1,43.01118046585002,-78.79342782570345
282,b8126,18,23,43.01118046585002,-78.79342782570345
283,b8127,17,26,43.01118046585002,-78.79342782570345
284,b8128,24,21,43.01118046585002,-78.79342782570345
285,b8129,21,20,43.01118046585002,-78.79342782570345
286,b8130,17,25,43.01118046585002,-78.79342782570345
287,b8131,23,18,43.01118046585002,-78.79342782570345
288,b910,21,19,43.01156289691717,-78.79323016158331
289,b911,23,12,43.01156289691717,-78.79323016158331
290,b912,19,26,43.01156289691717,-78.79323016158331
291,b913,19,26,43.01156289691717,-78.79323016158331
292,b914,17,19,43.01156289691717,-78.79323016158331
293,b915,23,8,43.01156289691717,-78.79323016158331
294,b916,17,28,43.01156289691717,-78.79323016158331
295,b917,23,17,43.01156289691717,-78.79323016158331
296,b918,20,26,43.01156289691717,-78.79323016158331
297,b919,24,16,43.01156289691717,-78.79323016158331
298,b9110,18,9,43.01156289691717,-78.79323016158331
299,b9111,23,8,43.01156289691717,-78.79323016158331
300,b9112,20,24,43.01156289691717,-78.79323016158331
301,b9113,19,17,43.01156289691717,-78.79323016158331
302,b9114,23,18,43.01156289691717,-78.79323016158331
303,b9115,19,18,43.01156289691717,-78.79323016158331
304,b9116,23,21,43.01156289691717,-78.79323016158331
305,b9117,20,24,43.01156289691717,-78.79323016158331
306,b9118,19,0,43.01156289691717,-78.79323016158331
307,b9119,17,6,43.01156289691717,-78.79323016158331
308,b9120,17,25,43.01156289691717,-78.79323016158331
309,b9121,22,15,43.01156289691717,-78.79323016158331
310,b9122,17,28,43.01156289691717,-78.79323016158331
311,b9123,24,20,43.01156289691717,-78.79323016158331
312,b9124,19,29,43.01156289691717,-78.79323016158331
313,b9125,19,10,43.01156289691717,-78.79323016158331
314,b9126,21,1,43.01156289691717,-78.79323016158331
315,b9127,23,21,43.01156289691717,-78.79323016158331
316,b9128,18,25,43.01156289691717,-78.79323016158331
317,b9129,21,27,43.01156289691717,-78.79323016158331
318,b9130,22,29,43.01156289691717,-78.79323016158331
319,b9131,18,11,43.01156289691717,-78.79323016158331
320,b1010,18,11,43.01183292512596,-78.79233631125723
321,b1011,21,8,43.01183292512596,-78.79233631125723
322,b1012,18,3,43.01183292512596,-78.79233631125723
323,b1013,22,11,43.01183292512596,-78.79233631125723
324,b1014,23,28,43.01183292512596,-78.79233631125723
325,b1015,22,14,43.01183292512596,-78.79233631125723
326,b1016,21,21,43.01183292512596,-78.79233631125723
327,b1017,19,17,43.01183292512596,-78.79233631125723
328,b1018,23,0,43.01183292512596,-78.79233631125723
329,b1019,17,29,43.01183292512596,-78.79233631125723
330,b10110,18,16,43.01183292512596,-78.79233631125723
331,b10111,20,6,43.01183292512596,-78.79233631125723
332,b10112,22,27,43.01183292512596,-78.79233631125723
333,b10113,18,3,43.01183292512596,-78.79233631125723
334,b10114,22,5,43.01183292512596,-78.79233631125723
335,b10115,17,15,43.01183292512596,-78.79233631125723
336,b10116,18,26,43.01183292512596,-78.79233631125723
337,b10117,23,7,43.01183292512596,-78.79233631125723
338,b10118,20,0,43.01183292512596,-78.79233631125723
339,b10119,23,14,43.01183292512596,-78.79233631125723
340,b10120,22,25,43.01183292512596,-78.79233631125723
341,b10121,18,22,43.01183292512596,-78.79233631125723
342,b10122,19,12,43.01183292512596,-78.79233631125723
343,b10123,19,17,43.01183292512596,-78.79233631125723
344,b10124,18,29,43.01183292512596,-78.79233631125723
345,b10125,20,6,43.01183292512596,-78.79233631125723
346,b10126,20,14,43.01183292512596,-78.79233631125723
347,b10127,20,18,43.01183292512596,-78.79233631125723
348,b10128,20,27,43.01183292512596,-78.79233631125723
349,b10129,18,15,43.01183292512596,-78.79233631125723
350,b10130,24,8,43.01183292512596,-78.79233631125723
351,b10131,21,3,43.01183292512596,-78.79233631125723
352,b1110,25,12,43.01197745415849,-78.79319651858249
353,b1111,19,14,43.01197745415849,-78.79319651858249
354,b1112,19,1,43.01197745415849,-78.79319651858249
355,b1113,20,28,43.01197745415849,-78.79319651858249
356,b1114,21,18,43.01197745415849,-78.79319651858249
357,b1115,19,28,43.01197745415849,-78.79319651858249
358,b1116,20,23,43.01197745415849,-78.79319651858249
359,b1117,20,18,43.01197745415849,-78.79319651858249
360,b1118,24,4,43.01197745415849,-78.79319651858249
361,b1119,19,23,43.01197745415849,-78.79319651858249
362,b11110,17,24,43.01197745415849,-78.79319651858249
363,b11111,19,17,43.01197745415849,-78.79319651858249
364,b11112,17,29,43.01197745415849,-78.79319651858249
365,b11113,19,27,43.01197745415849,-78.79319651858249
366,b11114,21,20,43.01197745415849,-78.79319651858249
367,b11115,25,8,43.01197745415849,-78.79319651858249
368,b11116,20,16,43.01197745415849,-78.79319651858249
369,b11117,25,26,43.01197745415849,-78.79319651858249
370,b11118,21,23,43.01197745415849,-78.79319651858249
371,b11119,17,13,43.01197745415849,-78.79319651858249
372,b11120,24,7,43.01197745415849,-78.79319651858249
373,b11121,25,0,43.01197745415849,-78.79319651858249
374,b11122,17,24,43.01197745415849,-78.79319651858249
375,b11123,21,7,43.01197745415849,-78.79319651858249
376,b11124,17,12,43.01197745415849,-78.79319651858249
377,b11125,23,20,43.01197745415849,-78.79319651858249
378,b11126,20,26,43.01197745415849,-78.79319651858249
379,b11127,25,3,43.01197745415849,-78.79319651858249
380,b11128,23,30,43.01197745415849,-78.79319651858249
381,b11129,23,26,43.01197745415849,-78.79319651858249
382,b11130,19,30,43.01197745415849,-78.79319651858249
383,b11131,21,28,43.01197745415849,-78.79319651858249
384,b1210,18,27,43.01209043556617,-78.7926860585544
385,b1211,21,2,43.01209043556617,-78.7926860585544
386,b1212,23,28,43.01209043556617,-78.7926860585544
387,b1213,22,16,43.01209043556617,-78.7926860585544
388,b1214,18,17,43.01209043556617,-78.7926860585544
389,b1215,22,27,43.01209043556617,-78.7926860585544
390,b1216,22,21,43.01209043556617,-78.7926860585544
391,b1217,20,2,43.01209043556617,-78.7926860585544
392,b1218,20,1,43.01209043556617,-78.7926860585544
393,b1219,19,1,43.01209043556617,-78.7926860585544
394,b12110,22,19,43.01209043556617,-78.7926860585544
395,b12111,20,13,43.01209043556617,-78.7926860585544
396,b12112,18,12,43.01209043556617,-78.7926860585544
397,b12113,18,26,43.01209043556617,-78.7926860585544
398,b12114,20,21,43.01209043556617,-78.7926860585544
399,b12115,22,29,43.01209043556617,-78.7926860585544
400,b12116,19,0,43.01209043556617,-78.7926860585544
401,b12117,24,15,43.01209043556617,-78.7926860585544
402,b12118,20,17,43.01209043556617,-78.7926860585544
403,b12119,23,2,43.01209043556617,-78.7926860585544
404,b12120,18,4,43.01209043556617,-78.7926860585544
405,b12121,20,7,43.01209043556617,-78.7926860585544
406,b12122,17,18,43.01209043556617,-78.7926860585544
407,b12123,25,13,43.01209043556617,-78.7926860585544
408,b12124,23,30,43.01209043556617,-78.7926860585544
409,b12125,20,10,43.01209043556617,-78.7926860585544
410,b12126,17,5,43.01209043556617,-78.7926860585544
411,b12127,17,9,43.01209043556617,-78.7926860585544
412,b12128,18,11,43.01209043556617,-78.7926860585544
413,b12129,18,3,43.01209043556617,-78.7926860585544
414,b12130,18,16,43.01209043556617,-78.7926860585544
415,b12131,24,3,43.01209043556617,-78.7926860585544
416,b1310,24,24,43.01106463036008,-78.79075198186496
417,b1311,19,26,43.01106463036008,-78.79075198186496
418,b1312,24,5,43.01106463036008,-78.79075198186496
419,b1313,21,9,43.01106463036008,-78.79075198186496
420,b1314,20,24,43.01106463036008,-78.79075198186496
421,b1315,22,2,43.01106463036008,-78.79075198186496
422,b1316,20,24,43.01106463036008,-78.79075198186496
423,b1317,22,18,43.01106463036008,-78.79075198186496
424,b1318,17,24,43.01106463036008,-78.79075198186496
425,b1319,22,2,43.01106463036008,-78.79075198186496
426,b13110,20,18,43.01106463036008,-78.79075198186496
427,b13111,24,0,43.01106463036008,-78.79075198186496
428,b13112,22,16,43.01106463036008,-78.79075198186496
429,b13113,17,7,43.01106463036008,-78.79075198186496
430,b13114,21,2,43.01106463036008,-78.79075198186496
431,b13115,21,13,43.01106463036008,-78.79075198186496
432,b13116,22,14,43.01106463036008,-78.79075198186496
433,b13117,24,9,43.01106463036008,-78.79075198186496
434,b13118,20,21,43.01106463036008,-78.79075198186496
435,b13119,25,26,43.01106463036008,-78.79075198186496
436,b13120,22,16,43.01106463036008,-78.79075198186496
437,b13121,17,4,43.01106463036008,-78.79075198186496
438,b13122,20,4,43.01106463036008,-78.79075198186496
439,b13123,17,16,43.01106463036008,-78.79075198186496
440,b13124,23,27,43.01106463036008,-78.79075198186496
441,b13125,24,5,43.01106463036008,-78.79075198186496
442,b13126,24,17,43.01106463036008,-78.79075198186496
443,b13127,21,21,43.01106463036008,-78.79075198186496
444,b13128,18,10,43.01106463036008,-78.79075198186496
445,b13129,18,27,43.01106463036008,-78.79075198186496
446,b13130,20,0,43.01106463036008,-78.79075198186496
447,b13131,19,25,43.01106463036008,-78.79075198186496
448,b1410,19,0,42.997653416922645,-78.78723175981618
449,b1411,21,18,42.997653416922645,-78.78723175981618
450,b1412,22,12,42.997653416922645,-78.78723175981618
451,b1413,22,26,42.997653416922645,-78.78723175981618
452,b1414,21,7,42.997653416922645,-78.78723175981618
453,b1415,17,13,42.997653416922645,-78.78723175981618
454,b1416,18,12,42.997653416922645,-78.78723175981618
455,b1417,19,3,42.997653416922645,-78.78723175981618
456,b1418,17,18,42.997653416922645,-78.78723175981618
457,b1419,22,15,42.997653416922645,-78.78723175981618
458,b14110,19,2,42.997653416922645,-78.78723175981618
459,b14111,21,27,42.997653416922645,-78.78723175981618
460,b14112,19,0,42.997653416922645,-78.78723175981618
461,b14113,19,24,42.997653416922645,-78.78723175981618
462,b14114,20,16,42.997653416922645,-78.78723175981618
463,b14115,19,4,42.997653416922645,-78.78723175981618
464,b14116,19,14,42.997653416922645,-78.78723175981618
465,b14117,23,0,42.997653416922645,-78.78723175981618
466,b14118,22,17,42.997653416922645,-78.78723175981618
467,b14119,22,4,42.997653416922645,-78.78723175981618
468,b14120,18,21,42.997653416922645,-78.78723175981618
469,b14121,17,23,42.997653416922645,-78.78723175981618
470,b14122,20,3,42.997653416922645,-78.78723175981618
471,b14123,20,13,42.997653416922645,-78.78723175981618
472,b14124,24,15,42.997653416922645,-78.78723175981618
473,b14125,21,25,42.997653416922645,-78.78723175981618
474,b14126,20,22,42.997653416922645,-78.78723175981618
475,b14127,24,27,42.997653416922645,-78.78723175981618
476,b14128,19,20,42.997653416922645,-78.78723175981618
477,b14129,20,14,42.997653416922645,-78.78723175981618
478,b14130,21,18,42.997653416922645,-78.78723175981618
479,b14131,20,15,42.997653416922645,-78.78723175981618
480,b1510,23,18,42.99742393197961,-78.79048946867672
481,b1511,19,9,42.99742393197961,-78.79048946867672
482,b1512,19,1,42.99742393197961,-78.79048946867672
483,b1513,24,29,42.99742393197961,-78.79048946867672
484,b1514,25,7,42.99742393197961,-78.79048946867672
485,b1515,20,8,42.99742393197961,-78.79048946867672
486,b1516,21,3,42.99742393197961,-78.79048946867672
487,b1517,21,11,42.99742393197961,-78.79048946867672
488,b1518,20,19,42.99742393197961,-78.79048946867672
489,b1519,21,20,42.99742393197961,-78.79048946867672
490,b15110,22,2,42.99742393197961,-78.79048946867672
491,b15111,17,24,42.99742393197961,-78.79048946867672
492,b15112,25,10,42.99742393197961,-78.79048946867672
493,b15113,22,6,42.99742393197961,-78.79048946867672
494,b15114,21,22,42.99742393197961,-78.79048946867672
495,b15115,17,7,42.99742393197961,-78.79048946867672
496,b15116,20,30,42.99742393197961,-78.79048946867672
497,b15117,23,25,42.99742393197961,-78.79048946867672
498,b15118,24,30,42.99742393197961,-78.79048946867672
499,b15119,20,17,42.99742393197961,-78.79048946867672
500,b15120,19,24,42.99742393197961,-78.79048946867672
501,b15121,21,17,42.99742393197961,-78.79048946867672
502,b15122,22,26,42.99742393197961,-78.79048946867672
503,b15123,19,11,42.99742393197961,-78.79048946867672
504,b15124,24,17,42.99742393197961,-78.79048946867672
505,b15125,22,3,42.99742393197961,-78.79048946867672
506,b15126,18,22,42.99742393197961,-78.79048946867672
507,b15127,21,30,42.99742393197961,-78.79048946867672
508,b15128,17,2,42.99742393197961,-78.79048946867672
509,b15129,21,12,42.99742393197961,-78.79048946867672
510,b15130,17,5,42.99742393197961,-78.79048946867672
511,b15131,18,8,42.99742393197961,-78.79048946867672
512,b1610,24,12,42.99740059695293,-78.79151854439492
513,b1611,23,7,42.99740059695293,-78.79151854439492
514,b1612,21,26,42.99740059695293,-78.79151854439492
515,b1613,23,26,42.99740059695293,-78.79151854439492
516,b1614,18,3,42.99740059695293,-78.79151854439492
517,b1615,20,6,42.99740059695293,-78.79151854439492
518,b1616,18,11,42.99740059695293,-78.79151854439492
519,b1617,18,0,42.99740059695293,-78.79151854439492
520,b1618,19,11,42.99740059695293,-78.79151854439492
